交易哈希,区块高度,本地时间(UTC+8),UTC时间,发送方,发送方ENS,接收方,接收方ENS,数量,代币符号,代币地址
0x3840e4****52ed8331,23758526,2025/11/09 09:49:11,2025/11/09 01:49:11,0x1429****7f855c,,0xaa64****4dfa14,,190.0,USDT,0xff7b****1b9f44,
0xbf4070****365e7c45,23758526,2025/11/09 09:49:11,2025/11/09 01:49:11,0x1429****7f855c,,0x1b91****891d5a,,475.0,0x5dfd****832b22,0x5c82****459293,
0x91ce4b****e4c52cd4,23758496,2025/11/09 09:43:11,2025/11/09 01:43:11,0x1429****7f855c,,0xaa64****4dfa14,,475.0,USDT,0xff7b****1b9f44,
0x40af5d****0877a844,23758483,2025/11/09 09:40:35,2025/11/09 01:40:35,0x07f3****b35fed,,0x1429****7f855c,,10000.0,USDT,0xff7b****1b9f44,
0x4e0a85****fc7959eb,23758454,2025/11/09 09:34:47,2025/11/09 01:34:47,0x1429****7f855c,,0x6cef****95aab4,,1425.0,0x9358****4271eb,0x4526****90e3bd,
0x4e0a85****fc7959eb,23758454,2025/11/09 09:34:47,2025/11/09 01:34:47,0x1429****7f855c,,0xec2b****de24ea,,475.0,0x9358****4271eb,0x4526****90e3bd,
0xf543c2****26e0b322,23758450,2025/11/09 09:33:59,2025/11/09 01:33:59,0x1429****7f855c,,0x3f56****580649,,475.0,0x5dfd****832b22,0x5c82****459293,
0xf543c2****26e0b322,23758450,2025/11/09 09:33:59,2025/11/09 01:33:59,0x1429****7f855c,,0xe90b****d869fd,,1425.0,0x5dfd****832b22,0x5c82****459293,
0x7c0ecf****39ebacd0,23758441,2025/11/09 09:32:11,2025/11/09 01:32:11,0x1429****7f855c,,0x4604****1466b4,,1425.0,USDT,0xff7b****1b9f44,
0xdfb984****51d6fcf2,23758439,2025/11/09 09:31:47,2025/11/09 01:31:47,0x1429****7f855c,,0x58e4****0773eb,,10.0,USDT,0xff7b****1b9f44,
0xceaf09****47f27293,23758438,2025/11/09 09:31:35,2025/11/09 01:31:35,0x1429****7f855c,,0x7d07****16ce64,,475.0,USDT,0xff7b****1b9f44,
0xd56f80****3479cd59,23758436,2025/11/09 09:31:11,2025/11/09 01:31:11,0x1429****7f855c,,0xc6f6****45259b,,190.0,USDT,0xff7b****1b9f44,
0x3da54d****307f618d,23758434,2025/11/09 09:30:47,2025/11/09 01:30:47,0x1429****7f855c,,0xaa64****4dfa14,,95.0,USDT,0xff7b****1b9f44,
0x444c5b****3592716a,23758433,2025/11/09 09:30:35,2025/11/09 01:30:35,0x1429****7f855c,,0x54a1****c26002,,15.0,USDC,0xcaf2****16e452,
0xb30fb2****a023fd05,23758431,2025/11/09 09:29:59,2025/11/09 01:29:59,0x1429****7f855c,,0x6293****6d172f,,1424.715057,USDC,0xcaf2****16e452,
0xe61e6d****85aef662,23758149,2025/11/09 08:33:35,2025/11/09 00:33:35,0x1429****7f855c,,0xbc68****1b4915,,693.36132,0xc185****c1beb7,0x568d****8eb66c,
0xe61e6d****85aef662,23758149,2025/11/09 08:33:35,2025/11/09 00:33:35,0x1429****7f855c,,0x08b2****100d56,,474.905019,0xc185****c1beb7,0x568d****8eb66c,
0x0471e7****5a890914,23758146,2025/11/09 08:32:59,2025/11/09 00:32:59,0x1429****7f855c,,0x8511****26f467,,474.905019,0x770f****1ba785,0x3cfd****e15c21,
0x0471e7****5a890914,23758146,2025/11/09 08:32:59,2025/11/09 00:32:59,0x1429****7f855c,,0xc60f****bc4f7e,,693.36132,0x770f****1ba785,0x3cfd****e15c21,
0x9ee8ec****52a8f0b8,23758138,2025/11/09 08:31:23,2025/11/09 00:31:23,0x1429****7f855c,,0x4f97****f9bc58,,94.98,0xc185****c1beb7,0x568d****8eb66c,
0x8d3bf0****7ab099b7,23758136,2025/11/09 08:30:59,2025/11/09 00:30:59,0x1429****7f855c,,0xbc68****1b4915,,693.36132,0xc185****c1beb7,0x568d****8eb66c,
0x50ef90****5b9fb5e8,23758135,2025/11/09 08:30:47,2025/11/09 00:30:47,0x1429****7f855c,,0x8a32****fc9959,,3610.0,0x26a0****2ab934,0xcc56****41481c,
0x0c65b7****197b2450,23758134,2025/11/09 08:30:35,2025/11/09 00:30:35,0x1429****7f855c,,0x516a****48fd06,,218.47815,0xc185****c1beb7,0x568d****8eb66c,
0x81eee5****002b2f55,23758133,2025/11/09 08:30:23,2025/11/09 00:30:23,0x1429****7f855c,,0xa23c****bd0287,,693.36132,USDC,0xcaf2****16e452,
0xc341d4****04b08036,23758132,2025/11/09 08:30:11,2025/11/09 00:30:11,0x1429****7f855c,,0x475c****109aec,,3610.0,0x5dfd****832b22,0x5c82****459293,
0xa087df****152005a6,23758131,2025/11/09 08:29:59,2025/11/09 00:29:59,0x1429****7f855c,,0x5dd4****25490e,,218.47815,USDC,0xcaf2****16e452,
0x0c424f****cecc7dc0,23758130,2025/11/09 08:29:47,2025/11/09 00:29:47,0x1429****7f855c,,0x08b2****100d56,,474.905019,0xc185****c1beb7,0x568d****8eb66c,
0x0c424f****cecc7dc0,23758130,2025/11/09 08:29:47,2025/11/09 00:29:47,0x1429****7f855c,,0xa3ae****aabfc4,,100.7,0x26a0****2ab934,0xcc56****41481c,
0x71afc8****deced2f8,23758129,2025/11/09 08:29:35,2025/11/09 00:29:35,0x1429****7f855c,,0x2277****02caf4,,94.98,USDC,0xcaf2****16e452,
0x6a29e4****27fcbcab,23758127,2025/11/09 08:29:11,2025/11/09 00:29:11,0x1429****7f855c,,0x82e7****640946,,474.905019,USDC,0xcaf2****16e452,
0x5f9318****b1801b9a,23758126,2025/11/09 08:28:59,2025/11/09 00:28:59,0x1429****7f855c,,0x67bb****908200,,124.45,0x26a0****2ab934,0xcc56****41481c,
0xdf9e7b****e6c78e0e,23758125,2025/11/09 08:28:47,2025/11/09 00:28:47,0x1429****7f855c,,0x8a32****fc9959,,3610.0,0x26a0****2ab934,0xcc56****41481c,
0x2f2c97****c5c38392,23758125,2025/11/09 08:28:47,2025/11/09 00:28:47,0x1429****7f855c,,0x5bf8****2f5009,,100.7,USDT,0xff7b****1b9f44,
0x9dc016****0bb73fdc,23758123,2025/11/09 08:28:23,2025/11/09 00:28:23,0x1429****7f855c,,0x1631****18aa4f,,124.45,USDT,0xff7b****1b9f44,
0x36eb35****586a1a9e,23758121,2025/11/09 08:27:59,2025/11/09 00:27:59,0x1429****7f855c,,0xd03b****92b0b4,,3610.0,USDT,0xff7b****1b9f44,
0xa571e5****5409f371,23757810,2025/11/09 07:25:47,2025/11/08 23:25:47,0x1429****7f855c,,0xaba3****5d2ff5,,1763.798936,0xc845****ba3268,0xa4f5****7730d2,
0xa571e5****5409f371,23757810,2025/11/09 07:25:47,2025/11/08 23:25:47,0x1429****7f855c,,0x9d32****560aa5,,709.65,0xc845****ba3268,0xa4f5****7730d2,
0xa571e5****5409f371,23757810,2025/11/09 07:25:47,2025/11/08 23:25:47,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0x35a6e9****dc96c6cf,23757807,2025/11/09 07:25:11,2025/11/08 23:25:11,0x1429****7f855c,,0x883f****34aecb,,709.65,0x5dfd****832b22,0x5c82****459293,
0x35a6e9****dc96c6cf,23757807,2025/11/09 07:25:11,2025/11/08 23:25:11,0x1429****7f855c,,0x3f56****580649,,475.0,0x5dfd****832b22,0x5c82****459293,
0x35a6e9****dc96c6cf,23757807,2025/11/09 07:25:11,2025/11/08 23:25:11,0x1429****7f855c,,0x9cd4****eba3d0,,1763.798936,0x5dfd****832b22,0x5c82****459293,
0x1182cf****37ad5e97,23757790,2025/11/09 07:21:47,2025/11/08 23:21:47,0x1429****7f855c,,0x9d32****560aa5,,709.65,0xc845****ba3268,0xa4f5****7730d2,
0x78a03c****8a792a33,23757787,2025/11/09 07:21:11,2025/11/08 23:21:11,0x1429****7f855c,,0x66a4****7f0f69,,4094.725377,0xc845****ba3268,0xa4f5****7730d2,
0x78a03c****8a792a33,23757787,2025/11/09 07:21:11,2025/11/08 23:21:11,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0x78a03c****8a792a33,23757787,2025/11/09 07:21:11,2025/11/08 23:21:11,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0x16cdd3****020b42d9,23757786,2025/11/09 07:20:59,2025/11/08 23:20:59,0x1429****7f855c,,0x2b16****1fa421,,4370.0,0xc845****ba3268,0xa4f5****7730d2,
0x16cdd3****020b42d9,23757786,2025/11/09 07:20:59,2025/11/08 23:20:59,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0x8d3823****47215cd0,23757785,2025/11/09 07:20:47,2025/11/08 23:20:47,0x1429****7f855c,,0x190d****4d00f5,,709.65,USDT,0xff7b****1b9f44,
0x95e47b****4afe350d,23757785,2025/11/09 07:20:47,2025/11/08 23:20:47,0x1429****7f855c,,0xaba3****5d2ff5,,1763.798936,0xc845****ba3268,0xa4f5****7730d2,
0x90e1b4****21966ae5,23757784,2025/11/09 07:20:35,2025/11/08 23:20:35,0x1429****7f855c,,0x3f56****580649,,475.0,0x5dfd****832b22,0x5c82****459293,
0x90e1b4****21966ae5,23757784,2025/11/09 07:20:35,2025/11/08 23:20:35,0x1429****7f855c,,0x355c****bc62b6,,4094.725377,0x5dfd****832b22,0x5c82****459293,
0x90e1b4****21966ae5,23757784,2025/11/09 07:20:35,2025/11/08 23:20:35,0x1429****7f855c,,0x3f56****580649,,475.0,0x5dfd****832b22,0x5c82****459293,
0xce3abf****2a3d69e8,23757783,2025/11/09 07:20:23,2025/11/08 23:20:23,0x1429****7f855c,,0x7d07****16ce64,,475.0,USDT,0xff7b****1b9f44,
0x9391ce****a4f700b1,23757781,2025/11/09 07:19:59,2025/11/08 23:19:59,0x1429****7f855c,,0xa147****6b21cc,,1691.2185,0xc845****ba3268,0xa4f5****7730d2,
0xc7146b****8eae055f,23757781,2025/11/09 07:19:59,2025/11/08 23:19:59,0x1429****7f855c,,0xf5e5****a50b59,,1763.798936,USDT,0xff7b****1b9f44,
0x9391ce****a4f700b1,23757781,2025/11/09 07:19:59,2025/11/08 23:19:59,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0x442415****e9c73ad4,23757780,2025/11/09 07:19:47,2025/11/08 23:19:47,0x1429****7f855c,,0xa1ed****1705e9,,4370.0,USDT,0xff7b****1b9f44,
0x0e6d7b****eef6176d,23757778,2025/11/09 07:19:23,2025/11/08 23:19:23,0x1429****7f855c,,0x9dee****f3b2e7,,27.0,0xc845****ba3268,0xa4f5****7730d2,
0x550fba****be1ed4ac,23757778,2025/11/09 07:19:23,2025/11/08 23:19:23,0x1429****7f855c,,0x7d07****16ce64,,475.0,USDT,0xff7b****1b9f44,
0xe538e3****7ce465d2,23757776,2025/11/09 07:18:59,2025/11/08 23:18:59,0x1429****7f855c,,0x2cbd****a2da5f,,2660.95,0xc845****ba3268,0xa4f5****7730d2,
0x2e2cf6****c8fce64c,23757776,2025/11/09 07:18:59,2025/11/08 23:18:59,0x1429****7f855c,,0x710d****467d89,,1691.2185,USDT,0xff7b****1b9f44,
0xaf8bac****7f5f4337,23757775,2025/11/09 07:18:47,2025/11/08 23:18:47,0x1429****7f855c,,0x79e7****93ddc9,,522.5,0xc845****ba3268,0xa4f5****7730d2,
0x03b240****204c2480,23757774,2025/11/09 07:18:35,2025/11/08 23:18:35,0x1429****7f855c,,0xe8a9****cf8721,,27.0,USDT,0xff7b****1b9f44,
0xdc24e4****c16b4568,23757774,2025/11/09 07:18:35,2025/11/08 23:18:35,0x1429****7f855c,,0x79e6****555eed,,348.65,0xc845****ba3268,0xa4f5****7730d2,
0xdc24e4****c16b4568,23757774,2025/11/09 07:18:35,2025/11/08 23:18:35,0x1429****7f855c,,0x66a4****7f0f69,,4094.725377,0xc845****ba3268,0xa4f5****7730d2,
0xdc24e4****c16b4568,23757774,2025/11/09 07:18:35,2025/11/08 23:18:35,0x1429****7f855c,,0xec2b****de24ea,,475.0,0xc845****ba3268,0xa4f5****7730d2,
0xdc24e4****c16b4568,23757774,2025/11/09 07:18:35,2025/11/08 23:18:35,0x1429****7f855c,,0x6601****3a1878,,2089.582084,0xa1a1****436a8f,0xe232****0d1aa7,
0x2c3dc2****60d3f4c6,23757772,2025/11/09 07:18:11,2025/11/08 23:18:11,0x1429****7f855c,,0x5d8d****ed823c,,522.5,USDT,0xff7b****1b9f44,
0xcef67d****99ac9549,23757771,2025/11/09 07:17:59,2025/11/08 23:17:59,0x1429****7f855c,,0x7d07****16ce64,,475.0,USDT,0xff7b****1b9f44,
0xa83324****14548298,23757769,2025/11/09 07:17:35,2025/11/08 23:17:35,0x1429****7f855c,,0xb621****a43163,,2089.582084,0x770f****1ba785,0x3cfd****e15c21,
0xa41d5e****1f899d62,23757769,2025/11/09 07:17:35,2025/11/08 23:17:35,0x1429****7f855c,,0x16ea****52afcb,,1711.976,0xc845****ba3268,0xa4f5****7730d2,
0x5dc907****cee9940a,23757769,2025/11/09 07:17:35,2025/11/08 23:17:35,0x1429****7f855c,,0x6b59****af3434,,4094.725377,USDT,0xff7b****1b9f44,
0xa41d5e****1f899d62,23757769,2025/11/09 07:17:35,2025/11/08 23:17:35,0x1429****7f855c,,0x870f****44bb8e,,223.25,0xc845****ba3268,0xa4f5****7730d2,
0x396c81****1cc27136,23757767,2025/11/09 07:17:11,2025/11/08 23:17:11,0x1429****7f855c,,0xd59c****8818de,,2660.95,USDT,0xff7b****1b9f44,
0xd9fa66****feb0520d,23757766,2025/11/09 07:16:59,2025/11/08 23:16:59,0x1429****7f855c,,0x25c5****25ea3d,,4244.6,0xc845****ba3268,0xa4f5****7730d2,
0x422c19****47ec1644,23757765,2025/11/09 07:16:47,2025/11/08 23:16:47,0x1429****7f855c,,0xd854****c172b3,,223.25,USDT,0xff7b****1b9f44,
0xe7b53c****4c0fecfe,23757764,2025/11/09 07:16:35,2025/11/08 23:16:35,0x1429****7f855c,,0xf826****c5ffae,,4009.0,0xc845****ba3268,0xa4f5****7730d2,
0x628c44****e25c15f6,23757764,2025/11/09 07:16:35,2025/11/08 23:16:35,0x1429****7f855c,,0x26e4****b9b266,,1711.976,USDT,0xff7b****1b9f44,
0x7ade12****d878af15,23757762,2025/11/09 07:16:11,2025/11/08 23:16:11,0x1429****7f855c,,0x780e****437d53,,4244.6,USDT,0xff7b****1b9f44,
0xb728f3****b3fe0094,23757760,2025/11/09 07:15:47,2025/11/08 23:15:47,0x1429****7f855c,,0x5fb5****c6522b,,348.65,USDT,0xff7b****1b9f44,
0xa6e335****cb2c658d,23757759,2025/11/09 07:15:35,2025/11/08 23:15:35,0x1429****7f855c,,0x6601****3a1878,,2089.582084,0xa1a1****436a8f,0xe232****0d1aa7,
0xdf4445****e620329b,23757759,2025/11/09 07:15:35,2025/11/08 23:15:35,0x1429****7f855c,,0xffb1****60129e,,4009.0,USDT,0xff7b****1b9f44,
0x10e5b5****d76e4372,23757756,2025/11/09 07:14:59,2025/11/08 23:14:59,0x07f3****b35fed,,0x1429****7f855c,,20000.0,USDT,0xff7b****1b9f44,
0x5051aa****ac9d72d6,23757754,2025/11/09 07:14:35,2025/11/08 23:14:35,0x1429****7f855c,,0xcdfe****d7412e,,2089.582084,USDC,0xcaf2****16e452,
0x6e207a****f72e8c3b,23757459,2025/11/09 06:15:11,2025/11/08 22:15:11,0x1429****7f855c,,0x749e****b7756e,,4781.16,0xe39f****35965d,0x3b06****f93760,
0x6367cc****c9452f67,23757458,2025/11/09 06:14:59,2025/11/08 22:14:59,0x1429****7f855c,,0xbddd****3fcdd8,,5130.0,0xe39f****35965d,0x3b06****f93760,
0x6367cc****c9452f67,23757458,2025/11/09 06:14:59,2025/11/08 22:14:59,0x1429****7f855c,,0x0d2c****3a2b54,,436.0975,0xe39f****35965d,0x3b06****f93760,
0x6907b2****ae46b47c,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0x870f****44bb8e,,237.5,0xe39f****35965d,0x3b06****f93760,
0x6907b2****ae46b47c,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0xec2b****de24ea,,190.0,0xe39f****35965d,0x3b06****f93760,
0xc84164****53bb2e3c,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0xa12d****b1d20e,,436.0975,0x5dfd****832b22,0x5c82****459293,
0xc84164****53bb2e3c,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0x92bc****44a1bb,,5130.0,0x5dfd****832b22,0x5c82****459293,
0x6907b2****ae46b47c,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0x629b****d36cb4,,1102.0,0xe39f****35965d,0x3b06****f93760,
0x10032a****8fce141e,23757455,2025/11/09 06:14:23,2025/11/08 22:14:23,0x1429****7f855c,,0x8264****c2445a,,4781.16,USDT,0xff7b****1b9f44,
0x2dffd2****c396c940,23757452,2025/11/09 06:13:47,2025/11/08 22:13:47,0x1429****7f855c,,0x7d07****16ce64,,190.0,USDT,0xff7b****1b9f44,
0x852b8b****edc87ee3,23757452,2025/11/09 06:13:47,2025/11/08 22:13:47,0x1429****7f855c,,0x968d****d17a6b,,1102.0,0xe70f****0d68cf,0x1f5a****02afb9,
0x10e5c4****48d3ebc8,23757449,2025/11/09 06:13:11,2025/11/08 22:13:11,0x1429****7f855c,,0x64cc****f2fc84,,123.5,0xe39f****35965d,0x3b06****f93760,
0x8c6e40****e469153a,23757449,2025/11/09 06:13:11,2025/11/08 22:13:11,0x1429****7f855c,,0xd854****c172b3,,237.5,USDT,0xff7b****1b9f44,
0x4fbf3f****8f4f7d5d,23757445,2025/11/09 06:12:23,2025/11/08 22:12:23,0x1429****7f855c,,0x6447****afb34d,,123.5,USDT,0xff7b****1b9f44,
0xe19951****477c626d,23757444,2025/11/09 06:12:11,2025/11/08 22:12:11,0x1429****7f855c,,0x0d2c****3a2b54,,436.0975,0xe39f****35965d,0x3b06****f93760,
0x2bfc2f****a767134b,23757441,2025/11/09 06:11:35,2025/11/08 22:11:35,0x1429****7f855c,,0x9ede****d2312b,,436.0975,USDT,0xff7b****1b9f44,
0xce2dc5****ad9800ec,23757440,2025/11/09 06:11:23,2025/11/08 22:11:23,0x1429****7f855c,,0xfda7****93cb66,,383.762,0xe39f****35965d,0x3b06****f93760,
0x88426a****4c786fc7,23757437,2025/11/09 06:10:47,2025/11/08 22:10:47,0x1429****7f855c,,0xa1d7****fbe36c,,383.762,USDT,0xff7b****1b9f44,
0x69c73e****b73adb34,23757436,2025/11/09 06:10:35,2025/11/08 22:10:35,0x1429****7f855c,,0xec2b****de24ea,,237.5,0xe39f****35965d,0x3b06****f93760,
0x412a75****3a8f4b8c,23757434,2025/11/09 06:10:11,2025/11/08 22:10:11,0x1429****7f855c,,0xbddd****3fcdd8,,5130.0,0xe39f****35965d,0x3b06****f93760,
0xc07bf8****e01e45c3,23757433,2025/11/09 06:09:59,2025/11/08 22:09:59,0x1429****7f855c,,0x7d07****16ce64,,237.5,USDT,0xff7b****1b9f44,
0xc0b14e****059185ea,23757430,2025/11/09 06:09:23,2025/11/08 22:09:23,0x1429****7f855c,,0x0425****2246cd,,5130.0,USDT,0xff7b****1b9f44,
0xb01195****1e4bcb8e,23757429,2025/11/09 06:09:11,2025/11/08 22:09:11,0x1429****7f855c,,0xd052****9c89df,,50.0,0xe39f****35965d,0x3b06****f93760,
0xf33139****41e6ac0a,23757426,2025/11/09 06:08:35,2025/11/08 22:08:35,0x1429****7f855c,,0x2024****171b02,,50.0,USDT,0xff7b****1b9f44,
0xd8e0bf****ec911a2e,23757374,2025/11/09 05:57:59,2025/11/08 21:57:59,0x1429****7f855c,,0x0d2c****3a2b54,,1900.0,0xe39f****35965d,0x3b06****f93760,
0xd8e0bf****ec911a2e,23757374,2025/11/09 05:57:59,2025/11/08 21:57:59,0x1429****7f855c,,0x629b****d36cb4,,1102.0,0xe39f****35965d,0x3b06****f93760,
0xd8e0bf****ec911a2e,23757374,2025/11/09 05:57:59,2025/11/08 21:57:59,0x1429****7f855c,,0xd3ec****123aaa,,1396.5,0xe39f****35965d,0x3b06****f93760,
0xdb6e3e****06cf2fef,23757370,2025/11/09 05:57:11,2025/11/08 21:57:11,0x1429****7f855c,,0x1123****03de46,,1102.0,0x5dfd****832b22,0x5c82****459293,
0xdb6e3e****06cf2fef,23757370,2025/11/09 05:57:11,2025/11/08 21:57:11,0x1429****7f855c,,0x1654****2c44b0,,1396.5,0x5dfd****832b22,0x5c82****459293,
0xdb6e3e****06cf2fef,23757370,2025/11/09 05:57:11,2025/11/08 21:57:11,0x1429****7f855c,,0xa12d****b1d20e,,1900.0,0x5dfd****832b22,0x5c82****459293,
0xefeeca****36c64818,23757363,2025/11/09 05:55:47,2025/11/08 21:55:47,0x1429****7f855c,,0xec2b****de24ea,,95.95,0xe39f****35965d,0x3b06****f93760,
0xefeeca****36c64818,23757363,2025/11/09 05:55:47,2025/11/08 21:55:47,0x1429****7f855c,,0x63ad****c77463,,101.65,0xe39f****35965d,0x3b06****f93760,
0xa39fae****0991cc21,23757359,2025/11/09 05:54:59,2025/11/08 21:54:59,0x1429****7f855c,,0x22ec****2dd097,,324.9,0xe39f****35965d,0x3b06****f93760,
0x2addff****243471cc,23757358,2025/11/09 05:54:47,2025/11/08 21:54:47,0x1429****7f855c,,0x0d2c****3a2b54,,1900.0,0xe39f****35965d,0x3b06****f93760,
0x979ade****aa90b596,23757357,2025/11/09 05:54:35,2025/11/08 21:54:35,0x1429****7f855c,,0x629b****d36cb4,,1102.0,0xe39f****35965d,0x3b06****f93760,
0x31ca38****774b0589,23757357,2025/11/09 05:54:35,2025/11/08 21:54:35,0x1429****7f855c,,0x8fb0****2591fe,,101.65,USDT,0xff7b****1b9f44,
0x75bc6a****8a203f88,23757355,2025/11/09 05:54:11,2025/11/08 21:54:11,0x1429****7f855c,,0x9d7e****823fe4,,324.9,USDT,0xff7b****1b9f44,
0x40a8c8****fe1bc460,23757354,2025/11/09 05:53:59,2025/11/08 21:53:59,0x1429****7f855c,,0x9ede****d2312b,,1900.0,USDT,0xff7b****1b9f44,
0x4fde61****57490be7,23757352,2025/11/09 05:53:35,2025/11/08 21:53:35,0x1429****7f855c,,0x7d07****16ce64,,95.95,USDT,0xff7b****1b9f44,
0x501338****95abf640,23757351,2025/11/09 05:53:23,2025/11/08 21:53:23,0x1429****7f855c,,0xd3ec****123aaa,,1396.5,0xe39f****35965d,0x3b06****f93760,
0x4cd5b0****dc4fc237,23757350,2025/11/09 05:53:11,2025/11/08 21:53:11,0x1429****7f855c,,0x172a****a8046d,,1102.0,USDT,0xff7b****1b9f44,
0xdc82a8****c13f1cf0,23757348,2025/11/09 05:52:47,2025/11/08 21:52:47,0x1429****7f855c,,0x4b44****670624,,1396.5,USDT,0xff7b****1b9f44,
0x481e38****a91a3504,23757339,2025/11/09 05:50:59,2025/11/08 21:50:59,0x1429****7f855c,,0x4bd3****c94eca,,74.992,0x125b****7a5623,0x689b****79a2ec,
0x51c3c9****751f922b,23757336,2025/11/09 05:50:23,2025/11/08 21:50:23,0x07f3****b35fed,,0x1429****7f855c,,30000.0,USDT,0xff7b****1b9f44,
0xb088ba****63d4bd27,23757333,2025/11/09 05:49:47,2025/11/08 21:49:47,0x1429****7f855c,,0x066d****cae114,,74.992,USDC,0xcaf2****16e452,
0xbcadd5****364e834e,23757017,2025/11/09 04:46:11,2025/11/08 20:46:11,0x1429****7f855c,,0xaa5a****81ca8b,,949.905,0x5d71****6d7e4b,0xa3ac****474a9c,
0x454c8d****419b3a34,23757008,2025/11/09 04:44:23,2025/11/08 20:44:23,0x1429****7f855c,,0xacaa****31564b,,949.905,0x770f****1ba785,0x3cfd****e15c21,
0xa1a4e4****86460436,23756998,2025/11/09 04:42:23,2025/11/08 20:42:23,0x1429****7f855c,,0xaa5a****81ca8b,,949.905,0xe073****d90dc4,0xa6f4****cb028f,
0x648704****d8e6ec6b,23756995,2025/11/09 04:41:47,2025/11/08 20:41:47,0x1429****7f855c,,0x4881****0c2a71,,949.905,USDC,0xcaf2****16e452,
